Métrique,U-Net,SVM
Précision,0.7996794871794872,0.7628205128205128
Sensibilité,0.9641025641025641,0.9948717948717948
Spécificité,0.5256410256410257,0.376068376068376
VPP,0.7720739219712526,
VPN,0.8978102189781022,
